#x u 
0.0 186954.49601055682 
3134.796238244514 309995.18008410826 
6269.592476489028 509696.19518457126 
9404.38871473354 687842.164857783 
12539.184952978056 839447.0986671073 
15673.98119122257 958588.7501425707 
18808.777429467085 1040661.8465917095 
21943.5736677116 1082492.5767196044 
25078.369905956115 1082463.348015819 
28213.16614420063 1040575.290751379 
31347.962382445145 958448.2149742 
34482.75862068966 839257.9724962271 
37617.55485893417 687613.6467891082 
40752.35109717868 509379.31985028746 
43887.14733542319 311447.30830984656 
47021.943573667704 101471.63773174802 
50156.739811912215 -112427.93834890898 
53291.53605015673 -321979.9290767531 
56426.33228840124 -519080.96460510005 
59561.12852664575 -696109.1531900304 
62695.92476489026 -846218.8195391763 
65830.72100313478 -963605.2268912003 
68965.51724137929 -1043729.0460302694 
72100.3134796238 -1083491.8910247702 
75235.10971786831 -1081356.133727972 
78369.90595611282 -1037404.3638171112 
81504.70219435733 -953336.1950527977 
84639.49843260185 -832402.5412605903 
87774.29467084636 -679279.9035807803 
90909.09090909087 -499889.53029504424 
94043.88714733538 -301168.44231461216 
97178.68338557989 -90801.17876816326 
100313.4796238244 123077.36391964632 
103448.27586206891 332196.5082541803 
106583.07210031342 528469.6225471452 
109717.86833855794 704306.8307465317 
112852.66457680245 852908.5127394558 
115987.46081504696 968528.2454790866 
119122.25705329147 1046695.0170093465 
122257.05329153598 1084386.1203770314 
125391.84952978049 1080144.0416284096 
128526.645768025 1034132.8218346229 
131661.44200626953 948131.7136278766 
134796.23824451404 825466.3775499922 
137931.03448275855 670880.2788486828 
141065.83072100306 490351.25780397543 
144200.62695924757 290860.3668053217 
147335.42319749208 80121.91324341495 
150470.2194357366 -133714.8525491701 
153605.0156739811 -342380.8685892129 
156739.81191222562 -537807.0256473855 
159874.60815047013 -712436.1994851714 
163009.40438871464 -859515.484645967 
166144.20062695915 -973357.3291275033 
169278.99686520366 -1049559.471864836 
172413.79310344817 -1085175.1780473555 
175548.58934169268 -1078827.1892746752 
178683.3855799372 -1030760.9821019394 
181818.1818181817 -942835.2754680366 
184952.97805642622 -818450.154084219 
188087.77429467073 -662415.5872497618 
191222.57053291524 -480765.42746845185 
194357.36677115975 -280524.0815342928 
197492.16300940426 -69434.87690973615 
200626.95924764877 144339.37253692196 
203761.75548589329 352532.022321446 
206896.5517241378 547092.2682774027 
210031.3479623823 720496.47098336 
213166.14420062682 866039.0946625457 
216300.94043887133 978092.0096562412 
219435.73667711584 1052322.1316241284 
222570.53291536035 1085858.9840635383 
225705.32915360486 1077405.7061427508 
228840.12539184937 1027289.1981573218 
231974.9216300939 937447.4321749288 
235109.7178683384 811354.4570702595 
238244.5141065829 653886.2468898103 
241379.31034482742 471132.7503239198 
244514.10658307193 270162.3782136033 
247648.90282131644 58745.63965458048 
250783.69905956095 -154950.17056155714 
253918.49529780546 -362671.0100181214 
257053.29153604998 -556365.5420661804 
260188.0877742945 -728472.0770914621 
263322.884012539 -872283.5771580028 
266457.6802507835 -982407.0466875146 
269592.476489028 -1055047.7365657093 
272727.27272727253 -1087667.2036154026 
275862.06896551704 -1078124.8760439577 
278996.86520376155 -1024575.9207585523 
282131.66144200607 -927493.0564151247 
285266.4576802506 -792815.8368561317 
288401.2539184951 -632444.326283865 
291536.0501567396 -459540.57647250977 
294670.8463949841 -281786.1834747998 
297805.6426332286 -99273.497062236 
300940.43887147313 90548.48632158984 
304075.23510971764 286044.4071361606 
307210.03134796215 479259.8352711192 
310344.82758620667 659104.2305850488 
313479.6238244512 815417.4027131206 
316614.4200626957 940643.0032407132 
319749.2163009402 1029540.506091143 
322884.0125391847 1078625.7052549268 
326018.8087774292 1086000.477400281 
329153.60501567373 1051379.6402866486 
332288.40125391824 976101.9807542763 
335423.19749216276 863078.4838730963 
338557.99373040727 716679.7652283501 
341692.7899686518 542567.0593334327 
344827.5862068963 347473.2998434849 
347962.3824451408 138942.75719199638 
351097.1786833853 -74960.69814399569 
354231.9749216298 -285965.42529841996 
357366.77115987433 -485911.877146041 
360501.56739811884 -667068.1297703852 
363636.36363636336 -822428.8757536828 
366771.15987460787 -945986.3192263419 
369905.9561128524 -1032962.4971716808 
373040.7523510969 -1079994.0431273053 
376175.5485893414 -1085262.24847577 
379310.3448275859 -1048563.3918579087 
382445.1410658304 -971316.6170723184 
385579.93730407493 -856509.0548228254 
388714.73354231945 -708580.3104544912 
391849.52978056396 -533250.7845343003 
394984.32601880847 -337300.46511505137 
398119.122257053 -128306.74577966714 
401253.9184952975 85648.59196490435 
404388.714733542 296291.90096124733 
407523.5109717865 495477.61011457903 
410658.307210031 675503.2134079592 
413793.10344827553 829407.1256028429 
416927.89968652005 951237.8865530627 
420062.69592476456 1036284.3040086513 
423197.49216300907 1081257.6352934616 
426332.2884012536 1084418.762896024 
429467.0846394981 1045645.4460969488 
432601.8808777426 966437.0480142585 
435736.6771159871 849856.5552719308 
438871.4733542316 700412.1323895126 
442006.26959247614 523882.79118137166 
445141.06583072065 327094.9165252282 
448275.86206896516 117658.29024249449 
451410.65830720967 -96328.178960135 
454545.4545454542 -306589.64007259905 
457680.2507836987 -504995.2880475185 
460815.0470219432 -683872.7818127455 
463949.8432601877 -836304.933494317 
467084.6394984322 -956397.1958855415 
470219.43573667674 -1039505.6044289797 
473354.23197492125 -1082416.3592010043 
476489.02821316576 -1083470.1024684338 
479623.82445141027 -1042626.0860074514 
482758.6206896548 -961463.7468363255 
485893.4169278993 -843121.6304283832 
489028.2131661438 -692176.0232429503 
492163.0094043883 -514463.98785102705 
495297.8056426328 -316857.6438826189 
498432.60188087734 -106998.4233454352 
501567.39811912185 106998.4233453749 
504702.19435736636 316857.6438825611 
507836.99059561087 514463.9878509738 
510971.7868338554 692176.023242904 
514106.5830720999 843121.6304283447 
